Date,Value
2020-01-31,29914.555035617628
2020-02-29,23978.690038687866
2020-03-31,20544.459813106492
2020-04-30,22186.57178762475
2020-05-31,22680.119507342533
2020-06-30,23144.03588441236
2020-07-31,26486.191298651447
2020-08-31,25166.497007896458
2020-09-30,23368.01569608076
2020-10-31,28031.312211469147
2020-11-30,20757.388126372058
2020-12-31,22592.203906915398
2021-01-31,20802.04665304353
2021-02-28,23894.4878032442
2021-03-31,26310.0479950543
2021-04-30,22916.531541432585
2021-05-31,23691.852691331864
2021-06-30,26674.98570132075
2021-07-31,17272.15669649039
2021-08-31,26716.19016423184
2021-09-30,27963.94074417828
2021-10-31,22928.96963236358
2021-11-30,20624.71466956237
2021-12-31,26037.044143723542
2022-01-31,20557.652292217615
2022-02-28,27302.759645805694
2022-03-31,23146.56245229791
2022-04-30,24696.315047865708
2022-05-31,27229.49695180296
2022-06-30,28145.742340377925
2022-07-31,27008.872125504946
2022-08-31,26289.435446212276
2022-09-30,29544.32985927342
2022-10-31,20600.601121862248
2022-11-30,28620.576129794
2022-12-31,26902.725773748123
2023-01-31,30392.32611913857
2023-02-28,24525.39808672632
2023-03-31,20132.381650970412
2023-04-30,24331.389693581634
2023-05-31,24682.102338442706
2023-06-30,21882.05040378108
2023-07-31,24673.52040170106
2023-08-31,23327.83368456409
2023-09-30,22613.94425236961
2023-10-31,25251.738687129353
2023-11-30,23122.78309952551
2023-12-31,24216.521665283988
2024-01-31,22133.62638661271
2024-02-29,25819.02218810707
2024-03-31,22321.713040543527
2024-04-30,20323.817875948684
2024-05-31,20824.556129398297
2024-06-30,25884.12544053855
2024-07-31,23074.501430531913
2024-08-31,27137.576052127843
2024-09-30,26211.455540807532
2024-10-31,21291.78135019714
2024-11-30,22235.546648663407
2024-12-31,23689.724049575143
2025-01-31,22942.69882001785
2025-02-28,26094.24713594116
2025-03-31,23668.342441981935
2025-04-30,24732.711053274765
2025-05-31,26810.020686766053
2025-06-30,27928.27136210054
2025-07-31,23403.81499933427
2025-08-31,30079.505188492894
2025-09-30,26067.999358897385
2025-10-31,25698.13684498748
2025-11-30,21665.415138739296
2025-12-31,20759.287538101365
2026-01-31,25990.198711649424
2026-02-28,26800.801951480546
2026-03-31,21606.090372703322
2026-04-30,21806.89683908363
2026-05-31,24079.037205933346
2026-06-30,25327.74198087158
2026-07-31,22265.867968709004
2026-08-31,22039.665775224472
2026-09-30,23863.027013193037
2026-10-31,26871.200960774582
2026-11-30,22284.293130791662
2026-12-31,26017.379516128836
2027-01-31,23986.5039261578
2027-02-28,23568.36542712434
2027-03-31,22018.729447450416
2027-04-30,21180.94382671284
2027-05-31,26580.01291907219
2027-06-30,27159.423118286675
2027-07-31,26499.97878266626
2027-08-31,23184.623410781187
2027-09-30,25896.368585363114
2027-10-31,22584.056075627162
2027-11-30,25089.03705711921
2027-12-31,28035.27013408247
2028-01-31,23747.992126716686
2028-02-29,27110.944659250265
2028-03-31,23874.62624963964
2028-04-30,27693.60710047368
2028-05-31,25299.766527834727
2028-06-30,24128.29587608995
2028-07-31,23515.783717369206
2028-08-31,24484.21337025069
2028-09-30,25366.77139347189
2028-10-31,22710.32508670677
2028-11-30,18426.937660800293
2028-12-31,25378.763023110885
2029-01-31,25860.991491102217
2029-02-28,23032.299465524266
2029-03-31,21343.945028994054
2029-04-30,24113.239947326998
2029-05-31,16570.694380035504
2029-06-30,21454.750610630614
2029-07-31,27208.11331520662
2029-08-31,21606.040500825467
2029-09-30,23813.722548589114
2029-10-31,22970.122977843137
2029-11-30,22816.764631768194
2029-12-31,26032.670730800877
2030-01-31,23030.523389172227
2030-02-28,26935.000897486883
2030-03-31,22842.07905723124
2030-04-30,28205.31161253002
2030-05-31,28648.32785012468
2030-06-30,25126.08767589051
2030-07-31,24427.743877011228
2030-08-31,25065.485975783275
2030-09-30,27431.04228870032
2030-10-31,25546.81848361212
2030-11-30,24758.791220500883
